,Year,Month,ULP Price
0,2001,1,0.85
1,2001,2,0.9279999999999999
2,2001,3,0.9329999999999999
3,2001,4,0.937
4,2001,5,0.9877414448669203
5,2001,6,0.8973992395437262
6,2001,7,0.8552395437262358
7,2001,8,0.8594171779141105
8,2001,9,0.9252147239263805
9,2001,10,0.8594171779141105
10,2001,11,0.8207888631090487
11,2001,12,0.8412064965197216
12,2002,1,0.8279350348027841
13,2002,2,0.8715384615384616
14,2002,3,0.9297115384615385
15,2002,4,0.959326923076923
16,2002,5,0.9515789473684211
17,2002,6,0.9178947368421052
18,2002,7,0.9389473684210526
19,2002,8,0.9613625304136254
20,2002,9,0.9859854014598539
21,2002,10,0.9924087591240875
22,2002,11,0.9927638190954774
23,2002,12,0.9993969849246231
24,2003,1,1.0436180904522614
25,2003,2,1.1102803738317757
26,2003,3,1.1383177570093457
27,2003,4,1.0239252336448599
28,2003,5,0.9685273972602739
29,2003,6,0.9741780821917808
30,2003,7,1.0137328767123288
31,2003,8,1.0677486910994765
32,2003,9,1.0539267015706806
33,2003,10,1.02282722513089
34,2003,11,1.048991150442478
35,2003,12,1.0583362831858407
36,2004,1,1.0957168141592921
37,2004,2,1.0481332164767747
38,2004,3,1.0782120946538125
39,2004,4,1.0758983347940403
40,2004,5,1.151614629794826
41,2004,6,1.1586797502230153
42,2004,7,1.1139339875111507
43,2004,8,1.174625550660793
44,2004,9,1.1862555066079294
45,2004,10,1.215330396475771
46,2004,11,1.210291777188329
47,2004,12,1.1414323607427057
48,2005,1,1.1040848806366048
49,2005,2,1.1570515097690943
50,2005,3,1.2273889875666075
51,2005,4,1.2649023090586147
52,2005,5,1.2162857142857142
53,2005,6,1.22925
54,2005,7,1.3070357142857145
55,2005,8,1.3900359712230215
56,2005,9,1.5455395683453235
57,2005,10,1.4766906474820143
58,2005,11,1.3709973045822101
59,2005,12,1.3366037735849057
60,2006,1,1.3959029649595687
61,2006,2,1.4045848375451266
62,2006,3,1.4367509025270757
63,2006,4,1.5320577617328521
64,2006,5,1.624246823956443
65,2006,6,1.623049001814882
66,2006,7,1.6170598911070782
67,2006,8,1.5996000000000001
68,2006,9,1.4688000000000003
69,2006,10,1.3956
70,2006,11,1.3536305732484075
71,2006,12,1.389663330300273
72,2007,1,1.3836578707916285
73,2007,2,1.385095890410959
74,2007,3,1.4767123287671233
75,2007,4,1.5044383561643835
76,2007,5,1.5767339449541282
77,2007,6,1.5731009174311927
78,2007,7,1.5343486238532111
79,2007,8,1.4859082568807338
80,2007,9,1.4992293577981652
81,2007,10,1.5052844036697246
82,2007,11,1.5803669724770644
83,2007,12,1.6602935779816514
84,2008,1,1.6784587155963302
85,2008,2,1.6542541436464089
86,2008,3,1.6980110497237566
87,2008,4,1.7393370165745858
88,2008,5,1.8165249537892791
89,2008,6,1.925101663585952
90,2008,7,1.9141219963031424
91,2008,8,1.7848748841519924
92,2008,9,1.8007784986098236
93,2008,10,1.8007784986098236
94,2008,11,1.4804419889502765
95,2008,12,1.2385635359116025
96,2009,1,1.2823204419889505
